Champions,Primary,HP,HP+,HP5,HP5+,MP,MP+,MP5,MP5+,AD,AD+,AS,AS+,AR,AR+,MR,MR+,MS,Range,Rol_Artillery,Rol_Assassin,Rol_Battlemage,Rol_Burst,Rol_Catcher,Rol_Diver,Rol_Enchanter,Rol_Juggernaut,Rol_Marksman,Rol_Skirmisher,Rol_Specialist,Rol_Vanguard,Rol_Warden
Aatrox,Juggernaut,580.0,90.0,3.0,1.0,0.0,0.0,0.0,0.0,60.0,5.0,0.651,2.5,38.0,3.25,32.1,1.25,345.0,175.0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ahri,Burst,526.0,92.0,5.5,0.6,418.0,25.0,8.0,0.8,53.04,3.0,0.668,2.0,20.88,3.5,30.0,0.5,330.0,550.0,0,0,0,1,0,0,0,0,0,0,0,0,0
Akali,Assassin,575.0,95.0,8.0,0.5,200.0,0.0,50.0,0.0,62.4,3.3,0.625,3.2,23.0,3.5,37.0,1.25,345.0,125.0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alistar,Vanguard,600.0,106.0,8.5,0.85,350.0,40.0,8.5,0.8,62.0,3.75,0.625,2.125,44.0,3.5,32.1,1.25,330.0,125.0,0,0,0,0,0,0,0,0,0,0,0,1,0
Amumu,Vanguard,613.12,84.0,9.0,0.85,287.2,40.0,7.382,0.525,53.38,3.8,0.736,2.18,33.0,3.8,32.1,1.25,335.0,125.0,0,0,0,0,0,0,0,0,0,0,0,1,0
Anivia,Battlemage,480.0,82.0,5.5,0.55,495.0,25.0,8.0,0.8,51.376,3.2,0.625,1.68,21.22,4.0,30.0,0.5,325.0,600.0,0,0,1,0,0,0,0,0,0,0,0,0,0
Annie,Burst,524.0,88.0,5.5,0.55,418.0,25.0,8.0,0.8,50.41,2.625,0.579,1.36,19.22,4.0,30.0,0.5,335.0,625.0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aphelios,Marksman,530.0,88.0,3.25,0.55,348.0,42.0,6.5,0.4,57.0,2.4,0.64,2.1,28.0,3.0,26.0,0.5,325.0,550.0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ashe,Marksman,570.0,87.0,3.5,0.55,280.0,32.0,6.972,0.4,59.0,2.96,0.658,3.33,26.0,3.4,30.0,0.5,325.0,600.0,0,0,0,0,0,0,0,0,1,0,0,0,0
Aurelion Sol,Battlemage,575.0,92.0,7.0,0.6,350.0,50.0,6.0,0.8,57.0,3.2,0.625,1.36,19.0,3.6,30.0,0.5,325.0,550.0,0,0,1,0,0,0,0,0,0,0,0,0,0
